EI_offline,order,participant
26.193099532410248,1,2
22.35180448766084,1,2
18.74907612391823,1,2
18.477282151871425,1,2
14.325628280050658,1,2
11.151258966650582,1,2
13.660674221201274,1,2
12.717269223834156,1,2
13.074678748328633,1,2
11.649309532327072,1,2
13.271380000066419,1,2
23.197688651552596,1,2
21.367679539790796,1,2
23.238305149775933,1,2
22.766459731775985,1,2
27.257458290084948,1,2
21.48259065060961,1,2
17.320767755331254,1,2
13.065715432430746,1,2
11.982169454232952,1,2
9.266774304169747,1,2
10.321919046487585,1,2
30.58012358283139,1,2
44.98321736999251,1,2
46.5037084353331,1,2
39.240792689828,1,2
35.887812843689936,1,2
31.740321071900095,1,2
27.904949189787477,1,2
20.68059862017625,1,2
17.173223316483114,1,2
24.536384244383992,1,2
20.5715038466278,1,2
19.659566449248004,1,2
17.450925026341967,1,2
17.676562930026613,1,2
13.575186693870577,1,2
10.514447975327561,1,2
9.086927901945879,1,2
9.276843733187224,1,2
8.671487020264056,1,2
5.561643206291248,1,2
3.7378524235680173,1,2
9.035051679238777,1,2
8.24684689370538,1,2
12.544595339168115,1,2
12.774695143447435,1,2
22.168875042558003,1,2
16.764963781115654,1,2
27.228430642810853,1,2
19.757192590647097,1,2
16.992127940259333,1,2
16.972571664153513,1,2
17.84990389575862,1,2
21.21698315025002,1,2
23.05878170468506,1,2
19.5627430647226,1,2
16.656754646434504,1,2
21.813425100756596,1,2
34.97982609916347,1,2
36.73304612349699,1,2
30.57602304327604,1,2
31.34370308321409,1,2
23.482616311492517,1,2
26.937705754350276,1,2
23.54240415682405,1,2
23.199753009914414,1,2
17.831590757186646,1,2
18.97044348197115,1,2
12.394634802263344,1,2
9.521810454511142,1,2
18.611926857974716,1,2
18.028140325503248,1,2
18.944812669638285,1,2
18.98713805863588,1,2
19.899285642444976,1,2
20.46508735943097,1,2
24.41038709546665,1,2
28.01108835621563,1,2
27.64769443342682,1,2
28.675709827610053,1,2
26.386691381896192,1,2
27.21933678087195,1,2
26.149553656549486,1,2
25.814522254984634,1,2
27.33757320598419,1,2
30.851826284716605,1,2
24.869346373013826,1,2
26.17523930700735,1,2
20.905513356535103,1,2
17.30573717829078,1,2
33.4647105358141,1,2
33.2794076496895,1,2
45.6568606181375,1,2
35.23547250074907,1,2
42.739212027945094,1,2
36.32561710901414,1,2
33.24419996112798,1,2
32.65353036753223,1,2
25.306758772450245,1,2
24.38693098467147,1,2
22.98685906753969,1,2
34.247602346277944,1,2
28.245545969932827,1,2
22.656128282385765,1,2
18.437572950115815,1,2
16.073305417458037,1,2
13.094025193324049,1,2
12.772315353757227,1,2
18.659816021900582,1,2
20.199356435167502,1,2
22.92082417964379,1,2
24.90633630869333,1,2
22.835221105292685,1,2
24.214084220743246,1,2
27.88567642782363,1,2
24.594142292175167,1,2
24.49776568492257,1,2
34.87291730298098,1,2
32.42204240737164,1,2
24.218221349923795,1,2
20.762048833209775,1,2
23.556407106072605,1,2
21.859317250577988,1,2
20.314179373466587,1,2
26.082733365422307,1,2
22.809601632658644,1,2
20.86680588108123,1,2
18.036823473569235,1,2
15.107368621459184,1,2
16.081190733977554,1,2
14.005162351382946,1,2
13.649105687957183,1,2
15.17884737103329,1,2
23.13643993630417,1,2
26.70580527826428,1,2
24.694969462806657,1,2
25.734771001745077,1,2
25.60080624657195,1,2
22.367273701218256,1,2
21.787365501848086,1,2
17.676433833727252,1,2
20.23970624273289,1,2
38.376317375864204,1,2
34.67019309571508,1,2
31.218396492775046,1,2
25.641496670313785,1,2
22.25952814170497,1,2
18.98773149227462,1,2
17.08486545012597,1,2
15.830438513839928,1,2
16.927296419103055,1,2
13.35155793593421,1,2
15.954714725018656,1,2
16.36815243306015,1,2
16.22514294789626,1,2
13.317750280641716,1,2
36.804456394022914,1,2
29.123726992831806,1,2
26.631483886101996,1,2
21.661753146294863,1,2
20.994456381944868,1,2
41.597960429973504,1,2
33.285900320300684,1,2
35.3715474266465,1,2
34.406755193036304,1,2
33.41688407923787,1,2
39.758858388601716,1,2
42.41048374969117,1,2
47.699411046036026,1,2
48.04681557153798,1,2
51.57531725113772,1,2
45.741600195302354,1,2
41.99528846967808,1,2
35.45685436836937,1,2
35.55716398401286,1,2
35.19461992232278,1,2
36.5356841495047,1,2
36.0506210145691,1,2
35.603931738558195,1,2
30.376984252536598,1,2
24.130624219497044,1,2
21.288936109343222,1,2
16.242645623208606,1,2
16.311481964646276,1,2
15.897953121135638,1,2
24.539730786821796,1,2
26.690598022317847,1,2
20.26895896450977,1,2
21.491082343607264,1,2
26.253235594842423,1,2
25.873280066467107,1,2
33.14334903964761,1,2
44.667465342492164,1,2
42.79133453429603,1,2
39.61478798619705,1,2
39.44486548771503,1,2
32.92124108215566,1,2
32.563861736295145,1,2
30.82901478024888,1,2
24.889811256473866,1,2
27.024414751843768,1,2
37.809137898238006,1,2
35.48809398429068,1,2
33.0342408765855,1,2
33.54357921700355,1,2
27.31696837596812,1,2
40.20776360078616,1,2
20.559625876459396,2,2
17.054062145953854,2,2
23.970619834279137,2,2
20.269539495290374,2,2
18.545347498168592,2,2
28.543036417541188,2,2
24.616604142856907,2,2
23.815926126614034,2,2
19.162207767955753,2,2
16.819604365886537,2,2
15.705999716785781,2,2
14.246222447961184,2,2
19.161366737450432,2,2
16.86872194935368,2,2
17.763932507303473,2,2
15.602303961648921,2,2
9.996665641964213,2,2
10.316015894667537,2,2
10.016627994069204,2,2
7.51048958361736,2,2
6.833945579547959,2,2
14.249505698650427,2,2
22.30008973546337,2,2
20.068082099766414,2,2
24.474824546526598,2,2
25.60832349873091,2,2
25.262025106866226,2,2
26.09887799229306,2,2
