EI_online,EI_offline,order,participant
67,68.32839559930834,1,4
78,69.92565791580809,1,4
80,74.99581549895001,1,4
77,67.33710317831411,1,4
71,69.00177766722044,1,4
79,62.58789531341053,1,4
71,60.57944095135783,1,4
77,85.68245614179017,1,4
92,78.98827435779172,1,4
68,67.46780624862929,1,4
65,70.43001175865892,1,4
90,67.06663744667519,1,4
58,72.03363666492496,1,4
80,74.33654372594557,1,4
79,86.15124389128025,1,4
91,79.83285979733698,1,4
76,72.42299940141196,1,4
71,61.77629308411282,1,4
70,63.371107413805106,1,4
76,55.842229861436266,1,4
63,51.57041813033266,1,4
63,52.13426527397712,1,4
70,48.308848422213394,1,4
77,49.55159079114673,1,4
78,50.708633864991995,1,4
74,53.58528556488255,1,4
75,59.45294581725255,1,4
76,55.75159246818815,1,4
80,54.611771655216124,1,4
78,62.450277415866495,1,4
79,65.44712864170565,1,4
75,65.53342561751158,1,4
78,66.29367696095544,1,4
81,70.76697175801124,1,4
88,64.70719914247229,1,4
91,63.27111699411477,1,4
100,60.63983236860302,1,4
100,65.78856503922867,1,4
93,61.676981509244,1,4
81,70.60707923828528,1,4
87,69.66482358531216,1,4
76,61.59163853835727,1,4
69,57.172630805741555,1,4
70,51.21471935151478,1,4
67,51.71009144796904,1,4
61,45.80249133265892,1,4
58,41.212112447853976,1,4
50,32.443770106111415,1,4
61,44.98847699827351,1,4
66,39.031397725852564,1,4
64,42.35681894009324,1,4
61,40.31966617649279,1,4
57,34.927530204130086,1,4
51,30.79522918596269,1,4
56,42.56150002491765,1,4
66,50.57967269574172,1,4
63,44.592279178667205,1,4
53,42.271853041146464,1,4
49,47.62553774123019,1,4
62,44.71557771254016,1,4
60,48.222048477200126,1,4
60,52.709564742957994,1,4
57,55.50499347883077,1,4
61,60.36419413182795,1,4
74,56.740671923737715,1,4
73,58.44595576919303,1,4
83,64.20145981076367,1,4
80,63.82974709111365,1,4
77,62.80713896872345,1,4
71,55.884949666667325,1,4
65,62.00394499496175,1,4
97,58.67218041575389,1,4
64,58.6846308813297,1,4
76,50.835182425872716,1,4
65,64.12337475367657,1,4
75,75.42045847124173,1,4
67,71.33612751613852,1,4
70,69.67478630384728,1,4
68,69.54801755060963,1,4
70,67.61186483126524,1,4
65,66.82750945741361,1,4
68,60.07220489979136,1,4
63,54.79959088238172,1,4
61,49.16601918258075,1,4
57,49.24594417947781,1,4
50,44.38824264805422,1,4
44,43.9462438545417,1,4
54,47.66328919977021,1,4
45,48.20842882148017,1,4
53,62.532266035316084,1,4
70,62.66633455968636,1,4
57,68.43068999521168,1,4
75,71.44450057126531,1,4
72,65.06437304400737,1,4
68,57.55680269057682,1,4
71,52.19117527218838,1,4
78,51.86846380225199,1,4
64,51.761635740783674,1,4
71,53.69358544222763,1,4
63,59.31258772281245,1,4
74,59.26464155825772,1,4
60,61.51406748017059,1,4
97,60.69107269938105,1,4
67,57.578864778778836,1,4
96,79.264612694333,1,4
100,71.68926096719504,1,4
87,76.80971349407602,1,4
99,76.04436619636458,1,4
95,74.73224523595182,1,4
93,72.11359161905983,1,4
94,68.62028402120963,1,4
85,67.33065643203439,1,4
63,44.1166086545736,2,4
59,36.75412912710749,2,4
51,43.77056304111185,2,4
57,41.253462556245616,2,4
57,43.84218749924552,2,4
63,45.444882579274314,2,4
55,54.17694972845082,2,4
64,55.068544150732194,2,4
54,46.29348003511632,2,4
46,46.2249342511934,2,4
50,43.783709924390074,2,4
45,43.87147898746984,2,4
44,42.009925188105115,2,4
46,41.900568273171714,2,4
41,39.200882307208495,2,4
39,36.87841656185004,2,4
34,49.31619073546237,2,4
49,44.57092463898647,2,4
41,44.77971816979361,2,4
39,48.58426244159445,2,4
47,40.8816155719301,2,4
49,43.68814490736311,2,4
49,41.53279356548658,2,4
48,38.79286781973902,2,4
47,41.30529398535792,2,4
45,44.9305090105362,2,4
49,39.29549148835698,2,4
38,35.99932573703511,2,4
38,36.578057361689346,2,4
38,32.49855510773273,2,4
41,34.06240525770921,2,4
40,30.212622376988662,2,4
36,29.241361488793398,2,4
39,27.933974748717382,2,4
33,30.375857670209548,2,4
40,33.597882225050604,2,4
37,31.783723720070128,2,4
33,31.26282557086183,2,4
40,42.66287528648737,2,4
52,48.99781592288237,2,4
39,45.73943866359691,2,4
33,39.47509834133527,2,4
34,39.64452153054044,2,4
34,32.97852283012646,2,4
28,29.32572600555733,2,4
25,25.09037658984473,2,4
28,26.09815924343008,2,4
42,28.080830513508566,2,4
32,27.805062667460824,2,4
30,29.075944884664857,2,4
40,39.26403497014579,2,4
34,40.4128254747402,2,4
40,40.33976307526593,2,4
49,38.7454043712235,2,4
37,34.564670918459406,2,4
33,33.111268291916936,2,4
36,37.04856752862706,2,4
35,40.99789442360657,2,4
36,42.19751137071191,2,4
42,41.746548539531865,2,4
50,43.32550102998895,2,4
42,44.51263569989061,2,4
55,51.173199786710434,2,4
50,46.689761645210616,2,4
54,42.87141030958602,2,4
43,38.38700678691839,2,4
46,40.210380011552935,2,4
46,43.3655034272104,2,4
58,48.76361173276035,2,4
45,46.79727033994644,2,4
43,51.65001778533899,2,4
41,50.628485812508536,2,4
45,55.70503834563335,2,4
58,52.16941509211782,2,4
48,48.52569505136277,2,4
41,43.3492646338387,2,4
43,51.92636555319841,2,4
43,51.664853580712574,2,4
42,46.7024821132153,2,4
48,46.31993494029143,2,4
35,46.31372028314911,2,4
39,43.816803963187965,2,4
30,43.66635370272218,2,4
27,47.27168323329542,2,4
32,47.237469014205466,2,4
31,52.61653184413703,2,4
40,58.0097223792998,2,4
47,56.389265017032685,2,4
42,48.676695182276056,2,4
40,44.82418589518981,2,4
48,49.991344696359235,2,4
43,48.09842352777861,2,4
38,51.454078024563685,2,4
44,48.557980519529295,2,4
39,51.00385863680984,2,4
48,56.138001982244745,2,4
36,53.72688164621794,2,4
42,46.64116445429242,2,4
50,51.026969738499105,2,4
46,43.85177085320403,2,4
56,43.01458416940343,2,4
51,55.4930841343002,2,4
44,56.30400664138745,2,4
49,55.89133291212479,2,4
52,50.130811801821096,2,4
46,52.9732350041992,2,4
46,52.061849307309814,2,4
54,49.558589855363444,2,4
41,45.651995972354534,2,4
38,45.23197614319319,2,4
46,50.743126321749585,2,4
55,49.89949527790149,2,4
53,64.25021340055794,2,4
64,57.70439465037064,2,4
57,51.122222948878225,2,4
53,49.34882051641033,2,4
56,48.79159722333444,2,4
48,42.31292575008828,2,4
40,39.34322494123584,2,4
38,36.28817041311106,2,4
38,32.632544894830126,2,4
32,31.304404204907733,2,4
36,25.987237981602938,2,4
29,32.4242476628812,2,4
25,35.54514675969679,2,4
24,32.000628946604984,2,4
30,40.565475749186845,2,4
33,36.17171675523975,2,4
31,33.44370835824913,2,4
30,29.456431814433103,2,4
29,29.729060322676677,2,4
27,32.180270298258215,2,4
39,35.392272480012196,2,4
47,45.01386541265099,2,4
46,46.26293095417063,2,4
48,46.81104629989772,2,4
44,48.45002999970459,2,4
54,48.33907479161956,2,4
49,44.66117225415684,2,4
45,56.20566397333705,2,4
50,57.39550875734834,2,4
57,49.53502390162334,2,4
43,45.52687501887001,2,4
38,40.029627146995665,2,4
35,38.902399534048286,2,4
30,34.41900060992459,2,4
25,32.483818794432004,2,4
25,29.54530841310653,2,4
28,26.284018485470646,2,4
27,24.33196053538365,2,4
23,26.022104846127693,2,4
34,26.435602299663447,2,4
41,24.93383322438062,2,4
38,29.907096274788223,2,4
33,30.09013032915327,2,4
31,33.86407868739688,2,4
50,51.79677039687453,2,4
37,56.47990516536227,2,4
48,66.45626185517456,2,4
47,58.23855552601365,2,4
48,57.08869502152684,2,4
50,58.08984475697018,2,4
60,65.46260184313113,2,4
56,70.29796958731386,2,4
54,68.77314594482371,2,4
67,72.88519614551319,2,4
55,72.52535506607732,2,4
56,68.94267794221281,2,4
56,61.80958872519948,2,4
57,58.64383625084108,2,4
66,70.37705161119334,2,4
57,70.01577806557965,2,4
52,62.852306100040224,2,4
59,62.01507760670264,2,4
70,62.25937996185185,2,4
60,69.98522311932105,2,4
49,61.69010437695594,2,4
50,64.73566551045873,2,4
52,73.79845752687028,2,4
69,66.59443261422686,2,4
53,58.55679619569639,2,4
63,61.671533413941674,2,4
58,65.87142141321254,2,4
70,66.46277703141713,2,4
56,64.03308888596945,2,4
68,68.48293211758318,2,4
60,67.16852865626265,2,4
52,62.863706194708314,2,4
62,60.047553059252536,2,4
61,69.91521000362482,2,4
59,63.02472490441902,2,4
54,69.37472251949202,2,4
64,66.92820339918656,2,4
48,85.02131009180926,2,4
81,91.15917776360585,2,4
76,85.00120295287262,2,4
68,78.4169613322479,2,4
72,80.49143724787228,2,4
58,71.321918938219,2,4
59,80.17569463282048,2,4
68,78.97762257868109,2,4
59,76.46748050754798,2,4
61,75.34228698546703,2,4
60,70.9049596268899,2,4
55,71.9466165668244,2,4
65,67.99780354827203,2,4
55,59.015606299242094,2,4
44,51.75547422060074,2,4
42,44.236511903774954,2,4
40,40.85515987401351,2,4
37,51.92011101318064,2,4
49,60.1972061644813,2,4
58,58.94118947831056,2,4
70,67.40029641273527,2,4
73,68.82445595822247,2,4
64,59.3662662308527,2,4
65,64.60524270194993,2,4
64,73.10658966366856,2,4
63,65.28514475720068,2,4
58,73.27321717177756,2,4
59,67.8224467584505,2,4
61,64.79227269151575,2,4
50,62.16671747757885,2,4
43,63.48744146894171,2,4
56,60.26906396421657,2,4
36,56.053623599679035,2,4
36,55.85764212230385,2,4
42,60.9486816591587,2,4
52,58.04363731228626,2,4
64,56.32694328486754,2,4
49,46.69107747994329,2,4
65,53.797180386850386,2,4
59,53.61931554664159,2,4
62,57.310462548884985,2,4
54,50.05004082930257,2,4
48,40.397182298515474,2,4
39,44.469281353838255,2,4
