EI_online,EI_offline,order,participant
31,46.37952234754382,1,3
42,38.39534834877513,1,3
19,34.151459784491614,1,3
25,31.53606033211715,1,3
30,25.434239479760546,1,3
20,19.784608813843313,1,3
31,17.69627374698355,1,3
23,18.19355216236404,1,3
20,15.09099408068115,1,3
26,15.388874343941689,1,3
15,13.2563484541412,1,3
23,10.907365194437183,1,3
23,8.746109319027308,1,3
18,9.302840085974811,1,3
24,5.948869175010594,1,3
24,4.97275627005996,1,3
19,4.040741226974553,1,3
25,3.8375241175874293,1,3
15,4.28358646608842,1,3
14,3.023255025774861,1,3
10,1.4420362668782807,1,3
6,4.771541303649582,1,3
7,3.9902750088865515,1,3
7,5.234323868287221,1,3
8,10.452675172154317,1,3
9,12.402774183132536,1,3
21,18.358923568804787,1,3
18,16.539039207317877,1,3
19,17.963212855799437,1,3
18,15.180444907158977,1,3
15,12.925484845939014,1,3
13,10.71483283391725,1,3
11,12.488606017869023,1,3
12,11.023708957194025,1,3
14,10.763299648262494,1,3
15,10.514499218646673,1,3
16,9.196421533948717,1,3
11,10.217384060610007,1,3
15,8.920063412155134,1,3
8,10.275011995519186,1,3
8,12.627560853718972,1,3
11,12.690648580864345,1,3
11,11.763539734458128,1,3
12,11.899365056113528,1,3
12,10.98157496192496,1,3
10,11.330096243948999,1,3
19,8.363509338992904,1,3
9,5.10546650974803,1,3
5,9.203968299409429,1,3
23,7.5270619099791585,1,3
6,6.932180622946015,1,3
4,4.411234540241557,1,3
7,6.469628155307326,1,3
4,4.160418448368953,1,3
3,4.319541901376851,1,3
6,4.477534814410704,1,3
7,7.139181022430216,1,3
13,8.23164138844073,1,3
17,8.50001541874699,1,3
15,9.886487121005937,1,3
20,10.3632659033749,1,3
23,9.892711653384117,1,3
17,7.911089727126417,1,3
16,7.717376717079996,1,3
19,6.393762631721467,1,3
10,5.2291204795154265,1,3
8,6.399269711885057,1,3
7,6.585601999731041,1,3
6,5.594102266967049,1,3
6,3.1562536225869144,1,3
4,2.400520095271112,1,3
2,1.054996652098486,1,3
0,1.7792380728423534,1,3
5,4.587249889712784,1,3
3,4.269855727951105,1,3
6,6.9120240788517044,1,3
11,6.1024063082159,1,3
6,9.250674392198711,1,3
25,11.31331711526096,1,3
26,8.925689414172979,1,3
22,6.772512384360049,1,3
21,5.329023703907227,1,3
16,7.637290204652765,1,3
18,6.031785434982404,1,3
10,6.419898496991154,1,3
11,7.905536920766089,1,3
17,6.643250276556209,1,3
8,8.21691625507708,1,3
7,7.61209291824454,1,3
11,7.91112382651457,1,3
10,5.834908886922725,1,3
8,6.026123574723512,1,3
12,4.735874087052585,1,3
12,4.285357575263674,1,3
15,7.798647692579934,1,3
11,10.409863132751095,1,3
18,9.511441728825302,1,3
21,7.914846792849496,1,3
16,8.755982839863567,1,3
12,11.365267342983252,1,3
14,15.946519663630015,1,3
16,17.177778741561923,1,3
20,18.116119094810024,1,3
26,14.003776635262316,1,3
19,10.955592018667113,1,3
14,9.435248206143974,1,3
10,8.065048867044734,1,3
6,9.517346886694336,1,3
15,7.790744774389564,1,3
2,6.616202148690334,1,3
4,4.5375601101727066,1,3
5,4.545122763367476,1,3
6,3.2859221987409484,1,3
3,3.891700086597412,1,3
12,8.603147624043453,1,3
13,11.573719098311292,1,3
21,8.474806869869374,1,3
12,7.5688062330671615,1,3
11,7.011119053781918,1,3
11,8.768345763403712,1,3
10,10.15244874358811,1,3
15,12.069900265765177,1,3
9,11.869234331391823,1,3
19,9.276938665644897,1,3
10,9.131368811209304,1,3
17,9.059998752099682,1,3
18,8.38066813178801,1,3
23,6.258832040727877,1,3
14,8.470872657232478,1,3
18,9.829524405391547,1,3
26,9.248388292429317,1,3
23,8.014391036389362,1,3
19,8.7181155226925,1,3
21,6.257163186064354,1,3
13,8.068385877394915,1,3
14,6.551783857344305,1,3
11,8.381602971730475,1,3
11,9.261547106239423,1,3
17,8.56192627207767,1,3
11,7.610777061348177,1,3
9,6.913899072811197,1,3
12,9.541953064904805,1,3
17,7.3056209194958655,1,3
12,12.426202363606825,1,3
23,11.318675401033182,1,3
19,12.299544133301685,1,3
26,10.058066638711576,1,3
28,8.670669945282746,1,3
30,9.574010355999771,1,3
27,12.59300932421066,1,3
24,13.039575191961017,1,3
23,11.03974318023578,1,3
20,9.874768876919353,1,3
18,27.230740792660647,1,3
26,22.55975806868894,1,3
16,19.868059924708405,1,3
14,15.714005442544964,1,3
9,12.026241727481024,1,3
11,11.094066670555971,1,3
12,9.71124769560624,1,3
8,10.586156947737226,1,3
15,9.519729001106969,1,3
9,11.643168804763192,1,3
15,9.647017597685934,1,3
19,8.628481937245908,1,3
24,9.783837731092287,1,3
22,9.447293605552733,1,3
18,7.812281431106754,1,3
15,9.132822424999876,1,3
15,10.857918128149995,1,3
19,8.834286010814335,1,3
14,8.677570161843574,1,3
14,11.27482060314744,1,3
21,11.905351975223235,1,3
17,12.592676986481823,1,3
17,18.297600995827512,1,3
25,19.385638225483266,1,3
17,21.719139558656043,1,3
29,17.798568977970966,1,3
17,20.46438878899321,1,3
21,18.629835202380217,1,3
22,18.85898676129539,1,3
24,18.56820546224638,1,3
24,16.41126996731908,1,3
22,16.874278635309608,1,3
20,22.330020151731226,1,3
24,18.44513661427732,1,3
18,14.49586213290012,1,3
21,13.854585036157834,1,3
18,13.082710872803396,1,3
18,11.380758015564146,1,3
17,8.594382502028305,1,3
15,7.697097607370256,1,3
16,14.857800474675454,1,3
25,18.302646476859373,1,3
27,13.762477459625275,1,3
21,10.434363214959195,1,3
16,7.487777856304046,1,3
11,5.936099387234104,1,3
9,5.642136469818048,1,3
16,7.297498837422991,1,3
10,7.674712126213949,1,3
23,7.785030482039615,1,3
14,4.249240150414419,1,3
14,3.84690109064651,1,3
8,4.024690513193533,1,3
12,5.9403195897041625,1,3
15,6.850110785860538,1,3
47,17.2193361302556,2,3
30,18.727646150556048,2,3
29,22.192100699091423,2,3
25,20.158042832133088,2,3
33,20.13729143124511,2,3
24,18.77005637506396,2,3
42,16.78937106602567,2,3
27,18.625253465534005,2,3
25,15.270495546178761,2,3
25,14.637057491792445,2,3
21,22.2531289285136,2,3
28,18.23290922304934,2,3
38,16.390720422629848,2,3
30,19.221993779321703,2,3
31,14.61247620543881,2,3
22,11.749553360454899,2,3
17,15.805333755804474,2,3
30,12.592460112705407,2,3
9,15.270451717571667,2,3
30,12.694221607810427,2,3
17,14.785046803510655,2,3
14,26.27208012279053,2,3
39,21.86945738128805,2,3
11,19.71920375937704,2,3
27,18.903272116805965,2,3
34,15.694138384865653,2,3
28,15.933486884956382,2,3
29,17.45374654273775,2,3
27,17.997267689295544,2,3
21,16.8996723716066,2,3
35,16.735790088910086,2,3
26,19.33798663541381,2,3
45,15.554576635487274,2,3
30,15.293029025089568,2,3
25,14.790934156053442,2,3
25,14.048589874200108,2,3
25,14.096483061493997,2,3
27,14.83633708518438,2,3
26,12.68827958003634,2,3
23,15.839237221397074,2,3
26,14.228321143515943,2,3
23,13.478966858863007,2,3
21,13.811411602640735,2,3
28,14.03488151469201,2,3
20,12.758092752932647,2,3
21,19.3997795248328,2,3
29,20.800287226937694,2,3
23,16.906235462091587,2,3
19,17.553681531642308,2,3
25,25.653112204782985,2,3
69,34.12996631100736,2,3
24,34.29346376869419,2,3
31,31.689007105631557,2,3
41,26.02868609462924,2,3
30,24.84912939368493,2,3
32,21.17773694162739,2,3
27,19.07737376461209,2,3
