temp_result,mid_result,ewma_result,norm_result
0.48403184201205646,0.48403184201205646,0.48403184201205646,100
0.5107154424414349,0.48403184201205646,0.49885606447282227,100
0.4206465916038251,0.4206465916038251,0.4580542803693387,92
0.3183016017174362,0.3183016017174362,0.41071258705907365,82
0.30485905780822253,0.30485905780822253,0.37922355527336116,76
0.2756508861421772,0.2756508861421772,0.3511496034098041,70
0.24695488003906585,0.24695488003906585,0.3247806985869508,65
0.2343535399285662,0.2343535399285662,0.30304935187824555,60
0.09579321811675533,0.23392858308696196,0.2551721567763597,51
0.23392858308696196,0.12533606469447942,0.2751726354823808,55
0.12533606469447942,0.18664531559499173,0.22338171192372178,44
0.18664531559499173,0.1789463187534446,0.2260255993634658,45
0.1789463187534446,0.1789463187534446,0.2147584877344356,42
0.1508915926618238,0.1789463187534446,0.20139748563314905,40
0.2074624649956399,0.1508915926618238,0.20730716607593155,41
0.12066708110775505,0.2074624649956399,0.18016379143437766,35
0.23541027929461333,0.14780980180394848,0.20567480743935565,41
0.14780980180394848,0.14780980180394848,0.17961630160510808,35
0.12945942195971458,0.14780980180394848,0.16943824441338617,33
0.23491921628759752,0.23491921628759752,0.1856574947887697,36
0.23536394628723784,0.23491921628759752,0.19569133089179838,38
0.22265953127529267,0.22265953127529267,0.20105337910096494,40
0.10533446885462915,0.12417713704741053,0.18179592108384113,36
0.12417713704741053,0.12417713704741053,0.17324661824622778,34
